project_id,period_end,PV,EV,AC,CPI,SPI,CV,SV,ml_risk
P024,2019-12-31 22:40:57.478588,,0.0,12448.88,0.0,,-12448.88,,0.55
P024,2020-01-31 22:40:57.478588,,0.0,193.5,0.0,,-193.5,,0.55
P024,2020-02-29 22:40:57.478588,1984.687284345048,6350.999309904153,308767.9830000002,0.020568840228179192,3.1999999999999997,-302416.983690096,4366.312025559105,0.5386871378745015
P024,2020-03-31 22:40:57.478588,,0.0,215667.31699999992,0.0,,-215667.31699999992,,0.55
P024,2020-04-30 22:40:57.478588,363.02263058254925,363.0226305825492,4390.425,0.08268507731769685,0.9999999999999999,-4027.402369417451,-5.684341886080802e-14,0.5045232074752668
P024,2020-05-31 22:40:57.478588,12263.092735867698,9607.454707610304,382852.62550000066,0.02509439420733524,0.7834446753802935,-373245.17079239036,-2655.6380282573937,0.6336479792648335
P024,2020-06-30 22:40:57.478588,617.982837831141,617.982837831141,86275.34799999995,0.0071629133020841744,1.0,-85657.36516216882,0.0,0.5460603976838537
P024,2020-07-31 22:40:57.478588,2383.603626537166,2383.6036265371654,274290.025,0.008690084980440558,0.9999999999999998,-271906.4213734629,-4.547473508864641e-13,0.5452204532607579
P024,2020-08-31 22:40:57.478588,,0.0,261664.12900000004,0.0,,-261664.12900000004,,0.55
P024,2020-09-30 22:40:57.478588,,0.0,4773.75,0.0,,-4773.75,,0.55
P024,2020-10-31 22:40:57.478588,,0.0,2520.95,0.0,,-2520.95,,0.55
P024,2020-11-30 22:40:57.478588,,0.0,46094.08,0.0,,-46094.08,,0.55
P024,2020-12-31 22:40:57.478588,,0.0,86929.58430000005,0.0,,-86929.58430000005,,0.55
P024,2021-01-31 22:40:57.478588,,0.0,13301.4,0.0,,-13301.4,,0.55
P024,2021-02-28 22:40:57.478588,,0.0,55980.8,0.0,,-55980.8,,0.55
P024,2021-03-31 22:40:57.478588,,0.0,8705.77,0.0,,-8705.77,,0.55
P024,2021-04-30 22:40:57.478588,,0.0,19984.00500000001,0.0,,-19984.00500000001,,0.55
P024,2021-05-31 22:40:57.478588,,0.0,16398.015,0.0,,-16398.015,,0.55
P024,2021-06-30 22:40:57.478588,,0.0,41911.81,0.0,,-41911.81,,0.55
P024,2021-07-31 22:40:57.478588,,0.0,58724.450000000055,0.0,,-58724.450000000055,,0.55
P024,2021-08-31 22:40:57.478588,,0.0,287637.5,0.0,,-287637.5,,0.55
P024,2021-09-30 22:40:57.478588,,0.0,110.0,0.0,,-110.0,,0.55
P024,2021-10-31 22:40:57.478588,,0.0,350.0,0.0,,-350.0,,0.55
P024,2021-11-30 22:40:57.478588,,0.0,5977.08,0.0,,-5977.08,,0.55
P024,2021-12-31 22:40:57.478588,13200.470906630584,2081.0982400000003,38275.73,0.054371222704308976,0.15765333333333334,-36194.631760000004,-11119.372666630585,0.8991518275126302
P024,2022-01-31 22:40:57.478588,10000.0,20718.75,4825.8200000000015,4.293311810220852,2.071875,15892.929999999998,10718.75,0.0
P024,2022-02-28 22:40:57.478588,5582.493083003951,2658.330039525691,65321.65000000001,0.040696002619739255,0.4761904761904762,-62663.31996047432,-2924.16304347826,0.7633314842734291
P024,2022-03-31 22:40:57.478588,,0.0,570.0,0.0,,-570.0,,0.55
P024,2022-04-30 22:40:57.478588,,0.0,13650.62,0.0,,-13650.62,,0.55
P024,2022-05-31 22:40:57.478588,,0.0,1500.0,0.0,,-1500.0,,0.55
P024,2022-06-30 22:40:57.478588,,0.0,31753.728,0.0,,-31753.728,,0.55
P024,2022-07-31 22:40:57.478588,6604.257997186079,0.0,129487.45999999999,0.0,0.0,-129487.45999999999,-6604.257997186079,1.0
P024,2022-08-31 22:40:57.478588,3850.3571428571427,3369.0625,658.0,5.120155775075988,0.875,2711.0625,-481.29464285714266,0.05625
P024,2022-09-30 22:40:57.478588,5727.724867724867,11169.063492063493,150862.33041000064,0.07403480684481789,1.9500000000000004,-139693.26691793714,5441.338624338626,0.5092808562353502
P024,2022-10-31 22:40:57.478588,2500.0,2718.75,14376.32,0.18911306926946533,1.0875,-11657.57,218.75,0.4459878119017941
P024,2022-11-30 22:40:57.478588,,0.0,29769.099999999988,0.0,,-29769.099999999988,,0.55
P024,2022-12-31 22:40:57.478588,,0.0,13752.069000000007,0.0,,-13752.069000000007,,0.55
P024,2023-01-31 22:40:57.478588,1870.0,1870.0,14352.61,0.13028989152495607,1.0,-12482.61,0.0,0.4783405596612742
P024,2023-02-28 22:40:57.478588,,0.0,413.73,0.0,,-413.73,,0.55
P024,2023-03-31 22:40:57.478588,,0.0,2626.9,0.0,,-2626.9,,0.55
P024,2023-04-30 22:40:57.478588,,0.0,13752.764999999989,0.0,,-13752.764999999989,,0.55
P024,2023-05-31 22:40:57.478588,,0.0,925.02,0.0,,-925.02,,0.55
P024,2023-06-30 22:40:57.478588,,0.0,372.81,0.0,,-372.81,,0.55
P024,2023-07-31 22:40:57.478588,,0.0,12777.37,0.0,,-12777.37,,0.55
P024,2023-08-31 22:40:57.478588,,0.0,59600.367999999995,0.0,,-59600.367999999995,,0.55
P024,2023-09-30 22:40:57.478588,,0.0,1518.6200000000001,0.0,,-1518.6200000000001,,0.55
P024,2023-10-31 22:40:57.478588,,0.0,21753.955,0.0,,-21753.955,,0.55
